Product code;Product name;Quantity;Price;Divisions included;Language;Category;Taxes;Status
3762571872;Appetizer - Smoked Salmon / Dill;100000;232;TH;fr;Category 4;TVA 20%;A
6213037357;Kellogs Raisan Bran Bars;100000;349;RU;fr;Category 2;TVA 20%;A
7852024165;Puree - Kiwi;100000;90;RU;fr;Category 4;TVA 20%;A
6464441167;Sour Puss Sour Apple;100000;334;PA;fr;Category 0;TVA 20%;A
4038109828;Wine - Black Tower Qr;100000;311;CN;fr;Category 9;TVA 20%;A
1011992698;Mushroom - Crimini;100000;154;CN;fr;Category 7;TVA 20%;A
2027686223;Cheese - Marble;100000;11;CN;fr;Category 3;TVA 20%;A
2182432019;Fiddlehead - Frozen;100000;358;ID;fr;Category 0;TVA 20%;A
1626509905;Pastry - Chocolate Marble Tea;100000;121;ID;fr;Category 7;TVA 20%;A
5670252888;Skewers - Bamboo;100000;473;SV;fr;Category 3;TVA 20%;A
0986206415;Aspic - Light;100000;456;PL;fr;Category 6;TVA 20%;A
3871156426;Pasta - Bauletti, Chicken White;100000;88;US;fr;Category 0;TVA 20%;A
0585849021;Pepper - White, Ground;100000;342;PT;fr;Category 2;TVA 20%;A
4738459996;Cup - Paper 10oz 92959;100000;332;CZ;fr;Category 7;TVA 20%;A
4277906168;Venison - Striploin;100000;211;CN;fr;Category 5;TVA 20%;A
7462589427;Lamb Tenderloin Nz Fr;100000;352;JP;fr;Category 1;TVA 20%;A
1248646878;Squeeze Bottle;100000;161;IT;fr;Category 4;TVA 20%;A
2011353521;Yoplait Drink;100000;43;PT;fr;Category 5;TVA 20%;A
0082789983;Dried Cranberries;100000;30;AO;fr;Category 7;TVA 20%;A
6475492027;Tea - Lemon Green Tea;100000;316;CA;fr;Category 0;TVA 20%;A
4921721440;Anisette - Mcguiness;100000;281;LA;fr;Category 6;TVA 20%;A
2348437228;Momiji Oroshi Chili Sauce;100000;392;CN;fr;Category 8;TVA 20%;A
5631765209;Plums - Red;100000;459;AR;fr;Category 7;TVA 20%;A
7560115616;Cherries - Maraschino,jar;100000;188;ID;fr;Category 5;TVA 20%;A
4652795807;Lid Coffeecup 12oz D9542b;100000;226;RU;fr;Category 3;TVA 20%;A
3410428852;Soupcontfoam16oz 116con;100000;464;ID;fr;Category 0;TVA 20%;A
9377168376;Cheese - Shred Cheddar / Mozza;100000;53;BR;fr;Category 2;TVA 20%;A
4977769171;Soupfoamcont12oz 112con;100000;423;SE;fr;Category 6;TVA 20%;A
7503964529;Puree - Passion Fruit;100000;403;CN;fr;Category 8;TVA 20%;A
6786643736;Lamb - Whole, Frozen;100000;390;ZA;fr;Category 6;TVA 20%;A
2289826057;Yogurt - Plain;100000;271;MA;fr;Category 5;TVA 20%;A
8022176133;Chocolate - White;100000;21;GR;fr;Category 9;TVA 20%;A
1217798234;Pasta - Lasagna Noodle, Frozen;100000;121;PT;fr;Category 1;TVA 20%;A
0953582620;Syrup - Monin - Granny Smith;100000;424;BR;fr;Category 7;TVA 20%;A
1534827358;Chicken - Wings, Tip Off;100000;66;TH;fr;Category 2;TVA 20%;A
0214016153;Squash - Butternut;100000;206;ID;fr;Category 6;TVA 20%;A
7546824885;Chicken - Base, Ultimate;100000;88;NG;fr;Category 9;TVA 20%;A
9472781586;Sour Puss Sour Apple;100000;113;GT;fr;Category 9;TVA 20%;A
1381630723;Tomatoes - Vine Ripe, Yellow;100000;32;RU;fr;Category 2;TVA 20%;A
9709779044;Sausage - Liver;100000;449;PH;fr;Category 0;TVA 20%;A
5541535069;Wine - Sherry Dry Sack, William;100000;7;JP;fr;Category 7;TVA 20%;A
7858643622;Gooseberry;100000;115;BD;fr;Category 1;TVA 20%;A
9617736799;Lemonade - Island Tea, 591 Ml;100000;325;RU;fr;Category 5;TVA 20%;A
1847008356;Napkin - Beverge, White 2 - Ply;100000;119;PT;fr;Category 4;TVA 20%;A
3093695392;Glass Clear 7 Oz Xl;100000;306;CN;fr;Category 5;TVA 20%;A
2487843063;Lamb - Whole, Frozen;100000;206;MM;fr;Category 5;TVA 20%;A
2629341550;Chocolate Eclairs;100000;223;PH;fr;Category 2;TVA 20%;A
9599058941;Fondant - Icing;100000;75;IL;fr;Category 4;TVA 20%;A
9300875760;Wine - Sauvignon Blanc;100000;215;MN;fr;Category 6;TVA 20%;A
9545465581;Cookies - Oreo, 4 Pack;100000;139;CN;fr;Category 3;TVA 20%;A
1164001523;Extract - Rum;100000;451;RS;fr;Category 2;TVA 20%;A
0740747215;Beef - Tenderlion, Center Cut;100000;444;CN;fr;Category 4;TVA 20%;A
3638549313;Boogies;100000;307;BO;fr;Category 1;TVA 20%;A
0991119908;Gatorade - Cool Blue Raspberry;100000;9;CN;fr;Category 1;TVA 20%;A
6310282514;Water - Spring Water, 355 Ml;100000;271;PH;fr;Category 5;TVA 20%;A
6151296737;Vector Energy Bar;100000;449;BF;fr;Category 0;TVA 20%;A
0089353404;Pasta - Angel Hair;100000;253;PL;fr;Category 3;TVA 20%;A
2420206460;Juice - Tomato, 48 Oz;100000;251;ID;fr;Category 3;TVA 20%;A
8022053155;Mushrooms - Black, Dried;100000;129;ID;fr;Category 3;TVA 20%;A
6619560253;Wine - White Cab Sauv.on;100000;280;ID;fr;Category 7;TVA 20%;A
4246667390;Shrimp - 16 - 20 Cooked, Peeled;100000;137;PH;fr;Category 8;TVA 20%;A
5772745956;Shrimp - 150 - 250;100000;162;SE;fr;Category 0;TVA 20%;A
2239430958;Butter - Unsalted;100000;181;MX;fr;Category 5;TVA 20%;A
3301339980;Coffee - Colombian, Portioned;100000;24;US;fr;Category 8;TVA 20%;A
9289880600;Chip - Potato Dill Pickle;100000;4;BR;fr;Category 1;TVA 20%;A
2140822307;Doilies - 5, Paper;100000;282;PL;fr;Category 9;TVA 20%;A
1803692197;Tomatoes - Vine Ripe, Red;100000;102;ZA;fr;Category 1;TVA 20%;A
9976954085;Cheese - Le Cheve Noir;100000;220;CN;fr;Category 7;TVA 20%;A
2126186482;Cup - 6oz, Foam;100000;49;CN;fr;Category 1;TVA 20%;A
7577584231;Wonton Wrappers;100000;16;TH;fr;Category 4;TVA 20%;A
1444119087;Icecream - Dibs;100000;480;BR;fr;Category 7;TVA 20%;A
5242976020;Flour - Teff;100000;373;ZA;fr;Category 3;TVA 20%;A
1720082367;Bread Country Roll;100000;67;CN;fr;Category 0;TVA 20%;A
3968463870;Wine - Vineland Estate Semi - Dry;100000;345;TZ;fr;Category 8;TVA 20%;A
7236874426;Lamb - Whole, Frozen;100000;453;UA;fr;Category 6;TVA 20%;A
4610230380;Huck White Towels;100000;186;YE;fr;Category 4;TVA 20%;A
9503253152;Browning Caramel Glace;100000;346;CN;fr;Category 8;TVA 20%;A
0629906777;Bread - 10 Grain;100000;456;SY;fr;Category 2;TVA 20%;A
2086302770;Chocolate Liqueur - Godet White;100000;398;TZ;fr;Category 8;TVA 20%;A
5692429918;Pastry - Apple Large;100000;391;GR;fr;Category 1;TVA 20%;A
0855653957;Wine - Red, Black Opal Shiraz;100000;232;UA;fr;Category 7;TVA 20%;A
3930206463;Squash - Pattypan, Yellow;100000;6;NL;fr;Category 2;TVA 20%;A
4529468224;Dried Figs;100000;300;AT;fr;Category 2;TVA 20%;A
9037927661;Rum - Coconut, Malibu;100000;379;AF;fr;Category 0;TVA 20%;A
1499077459;Cheese - Gorgonzola;100000;381;ID;fr;Category 2;TVA 20%;A
0696032279;Shichimi Togarashi Peppeers;100000;232;ID;fr;Category 1;TVA 20%;A
4002713776;Tart Shells - Savory, 3;100000;454;PH;fr;Category 3;TVA 20%;A
1231256257;Lychee - Canned;100000;283;PL;fr;Category 2;TVA 20%;A
7530876074;Carbonated Water - Blackberry;100000;233;PE;fr;Category 9;TVA 20%;A
5536477706;Foil - Round Foil;100000;276;ID;fr;Category 6;TVA 20%;A
7943655753;Flavouring - Rum;100000;63;CA;fr;Category 8;TVA 20%;A
8162396756;Bread - Bistro White;100000;111;ID;fr;Category 1;TVA 20%;A
8746418016;Cheese - Mix;100000;499;RU;fr;Category 8;TVA 20%;A
5175115626;Sour Cream;100000;363;BR;fr;Category 4;TVA 20%;A
9248019722;Loquat;100000;124;MX;fr;Category 9;TVA 20%;A
7419707685;Country Roll;100000;60;RU;fr;Category 7;TVA 20%;A
8013793400;Mousse - Mango;100000;439;PH;fr;Category 7;TVA 20%;A
0141775947;Steamers White;100000;382;CN;fr;Category 1;TVA 20%;A
0621417033;Goat - Whole Cut;100000;140;IL;fr;Category 8;TVA 20%;A
0142051276;Coffee Swiss Choc Almond;100000;152;UA;fr;Category 9;TVA 20%;A
4448338886;Veal - Brisket, Provimi, Bone - In;100000;144;CN;fr;Category 5;TVA 20%;A
1460214528;Beans - Kidney, Canned;100000;344;FR;fr;Category 8;TVA 20%;A
7311254469;Beef - Top Butt;100000;445;CN;fr;Category 5;TVA 20%;A
3033522106;Sauce - Caesar Dressing;100000;70;JO;fr;Category 6;TVA 20%;A
8934543450;Appetizer - Mini Egg Roll, Shrimp;100000;297;LV;fr;Category 5;TVA 20%;A
7579683024;Bread Bowl Plain;100000;250;PL;fr;Category 2;TVA 20%;A
4580733355;Wine - Winzer Krems Gruner;100000;218;AF;fr;Category 4;TVA 20%;A
7220868650;Pate - Cognac;100000;1;UA;fr;Category 8;TVA 20%;A
0696538466;Rice - Jasmine Sented;100000;292;NO;fr;Category 1;TVA 20%;A
9107747861;Fenngreek Seed;100000;75;BR;fr;Category 3;TVA 20%;A
9611842260;Chicken Giblets;100000;118;NL;fr;Category 4;TVA 20%;A
