Product code;Product name;Quantity;Price;Divisions included;Divisions excluded;Language;Category;Taxes;Status;Image URL
8659653056;Wine - Masi Valpolocell;100000;16;ALL;FR-75;fr;Category 2;TVA 20%;A;http://dummyimage.com/655x555.bmp/dddddd/000000
5673476133;Myers Planters Punch;100000;42;FR|BE|IT;FR-ARA|FR-IDF;fr;Category 6;TVA 20%;A;http://dummyimage.com/575x598.bmp/5fa2dd/ffffff
4268784318;Bread Bowl Plain;100000;261;FR;INVALID;fr;Category 7;TVA 20%;A;http://dummyimage.com/682x401.jpg/5fa2dd/ffffff
3294413287;Tuna - Bluefin;100000;51;FR-ARA;UK;fr;Category 5;TVA 20%;A;http://dummyimage.com/537x539.png/5fa2dd/ffffff
2789366595;Soup - Knorr, Country Bean;100000;129;FR|IT;IT|BE;fr;Category 7;TVA 20%;A;http://dummyimage.com/584x457.png/ff4444/ffffff
8626927997;Champagne - Brights, Dry;100000;182;FR-ARA;INVALID;fr;Category 3;TVA 20%;A;http://dummyimage.com/495x647.jpg/ff4444/ffffff
5592386062;Beets - Pickled;100000;74;FR|BE|IT;FR-01|FR-69;fr;Category 1;TVA 20%;A;http://dummyimage.com/407x490.jpg/cc0000/ffffff
3848669633;Dawn Professionl Pot And Pan;100000;340;FR-IDF;IT|BE;fr;Category 3;TVA 20%;A;http://dummyimage.com/519x797.bmp/5fa2dd/ffffff
5909921289;Lettuce Romaine Chopped;100000;232;FR;FR-ARA|FR-IDF;fr;Category 0;TVA 20%;A;http://dummyimage.com/506x752.bmp/dddddd/000000
5208767697;Capon - Breast, Double, Wing On;100000;12;FR-IDF;UK;fr;Category 0;TVA 20%;A;http://dummyimage.com/466x630.bmp/dddddd/000000
2738992838;Sauce - White, Mix;100000;298;INVALID;FR-75;fr;Category 8;TVA 20%;A;http://dummyimage.com/765x493.jpg/dddddd/000000
927017772;Pastry - Apple Large;100000;267;FR|IT;INVALID;fr;Category 0;TVA 20%;A;http://dummyimage.com/762x645.png/ff4444/ffffff
9238482658;Carrots - Mini Red Organic;100000;270;FR;UK;fr;Category 1;TVA 20%;A;http://dummyimage.com/764x558.jpg/ff4444/ffffff
100237475;Chives - Fresh;100000;244;FR|BE|IT;UK;fr;Category 9;TVA 20%;A;http://dummyimage.com/443x524.jpg/5fa2dd/ffffff
7810181273;Coconut Milk - Unsweetened;100000;88;FR|IT;FR-01|FR-69;fr;Category 1;TVA 20%;A;http://dummyimage.com/402x539.png/dddddd/000000
8710904393;Pork - Bones;100000;201;FR|BE|IT;INVALID;fr;Category 5;TVA 20%;A;http://dummyimage.com/787x639.png/5fa2dd/ffffff
3617439131;Wine - Rioja Campo Viejo;100000;262;FR-IDF;FR-75;fr;Category 0;TVA 20%;A;http://dummyimage.com/683x485.png/ff4444/ffffff
8311480365;Tea - Orange Pekoe;100000;66;FR-IDF;FR-ARA|FR-IDF;fr;Category 6;TVA 20%;A;http://dummyimage.com/423x660.bmp/ff4444/ffffff
2110386123;Pastry - Cherry Danish - Mini;100000;257;FR-IDF;UK;fr;Category 1;TVA 20%;A;http://dummyimage.com/623x687.jpg/5fa2dd/ffffff
6523631722;Asparagus - Green, Fresh;100000;125;ALL;FR-01|FR-69;fr;Category 6;TVA 20%;A;http://dummyimage.com/632x642.png/5fa2dd/ffffff
4242190547;Mushroom Morel Fresh;100000;40;FR|BE|IT;FR-75;fr;Category 4;TVA 20%;A;http://dummyimage.com/532x427.bmp/cc0000/ffffff
3253149407;Rum - Coconut, Malibu;100000;228;FR-ARA;UK;fr;Category 3;TVA 20%;A;http://dummyimage.com/580x642.jpg/5fa2dd/ffffff
2506846142;Apples - Spartan;100000;89;FR-IDF;IT|BE;fr;Category 1;TVA 20%;A;http://dummyimage.com/724x667.png/5fa2dd/ffffff
9066511997;Flour Pastry Super Fine;100000;172;FR|IT;IT|BE;fr;Category 7;TVA 20%;A;http://dummyimage.com/668x703.png/ff4444/ffffff
7747204694;Capon - Breast, Wing On;100000;350;FR-IDF;INVALID;fr;Category 5;TVA 20%;A;http://dummyimage.com/487x748.jpg/dddddd/000000
