Product code;Language;Price;Crossed out Price;Company id;Combination
8659653056;fr;100.00;0.00;1;
5673476133;fr;101.00;2001.00;1;test import prices ans stocks: option 1
5673476133;fr;102.00;2001.00;1;test import prices ans stocks: option 2
5673476133;fr;103.00;2001.00;1;test import prices ans stocks: option 3
5673476133;fr;104.00;2001.00;1;test import prices ans stocks: option 4
5673476133;fr;105.00;2001.00;1;test import prices ans stocks: option 5
5673476133;fr;106.00;2001.00;1;test import prices ans stocks: option 6
5673476133;fr;107.00;2001.00;1;test import prices ans stocks: option 7
5673476133;fr;108.00;2001.00;1;test import prices ans stocks: option 8
4268784318;fr;109.00;0.00;1;
3294413287;fr;0.00;0.00;1;
2789366595;fr;18.00;0.00;1;
8626927997;fr;512.00;2012.00;1;
5592386062;fr;513.00;2013.00;1;
3848669633;fr;514.00;0.00;1;
5909921289;fr;515.00;2015.00;1;
5208767697;fr;516.00;0.00;1;
2738992838;fr;517.00;2017.00;1;
927017772;fr;518.00;2018.00;1;
9238482658;fr;519.00;2019.00;1;
100237475;fr;12.00;0.00;1;
7810181273;fr;521.00;2021.00;1;
8710904393;fr;522.00;2022.00;1;
3617439131;fr;523.00;2023.00;1;
8311480365;fr;12.00;0.00;1;
2110386123;fr;525.00;2025.00;1;
6523631722;fr;526.00;2026.00;1;
4242190547;fr;527.00;2027.00;1;
3253149407;fr;528.00;2028.00;1;
2506846142;fr;529.00;0.00;1;
9066511997;fr;530.00;2030.00;1;
7747204694;fr;531.00;2031.00;1;
9195024133;fr;532.00;2032.00;1;
7695027336;fr;533.00;2033.00;1;
2970785778;fr;534.00;2034.00;1;
1806f031-d253-4a41-8fc7-0ce4bc6a0d94;fr;207.00;1035.00;1;
792ea05c-86c3-4f19-ad12-8123b99cbb15;fr;208.00;1036.00;1;
e0f0cec1-eb3f-4f30-85f8-c5ab70357fc5;fr;209.00;1037.00;1;
f1aec8f0-3b36-4ddd-a859-d45be52289a9;fr;210.00;1038.00;1;
5fd0e7e78fc2b;fr;211.00;1039.00;1;
5fd0e86264d2a;fr;212.00;1040.00;1;test import prices ans stocks: option 1
5fd0e86264d2a;fr;213.00;1040.00;1;test import prices ans stocks: option 2
5fd0e86264d2a;fr;200.00;1040.00;1;test import prices ans stocks: option 3
4514364022;fr;201.00;1043.00;1;
