Product code;Language;Category;Price;Weight;Quantity;Downloadable;Product name;Description;Taxes;Features;Short description;Status;Price tiers;Crossed out Price;Company id;Combination;Combination Code;Combination Supplier Ref
8659653056;fr;Category 2;30.00;0.00;200;N;Wine - Masi Valpolocell;;TVA 20%;;;A;;;1;;;
8626927997;fr;Category 3;30.01;0.00;99998;N;Champagne - Brights, Dry;;TVA 20%;;;A;[0:11///5:21///10:31];;1;;;
5592386062;fr;Category 1;30.02;0.00;100000;N;Beets - Pickled;;TVA 20%;;;A;[0:11///5:21///10:31];10.02;1;;;
3848669633;fr;Category 3;;0.00;100000;N;Dawn Professionl Pot And Pan;;TVA 20%;;;A;[0:11///5:21///10:31];;1;;;
5909921289;fr;Category 0;;0.00;100000;N;Lettuce Romaine Chopped;;TVA 20%;;;A;[0:11///5:21///10:31];10.04;1;;;
5208767697;fr;Category 0;;0.00;100000;N;Capon - Breast, Double, Wing On;;TVA 20%;;;A;;10.05;1;;;
5673476133;fr;Category 6;30.00;0.00;10;N;Myers Planters Punch;;TVA 20%;;;A;;;1;test import prices ans stocks: option 1;56734761331;testsupplier1
5673476133;fr;Category 6;30.01;0.00;10;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];;1;test import prices ans stocks: option 2;56734761332;supref2
5673476133;fr;Category 6;30.02;0.00;10;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];10.02;1;test import prices ans stocks: option 3;56734761333;
5673476133;fr;Category 6;;0.00;10;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];;1;test import prices ans stocks: option 4;;
5673476133;fr;Category 6;;0.00;10;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];10.04;1;test import prices ans stocks: option 5;;
5673476133;fr;Category 6;;0.00;10;N;Myers Planters Punch;;TVA 20%;;;A;;10.05;1;test import prices ans stocks: option 6;;
