Product code;Language;Category;Price;Weight;Quantity;Downloadable;Product name;Description;Taxes;Features;Short description;Status;Company id;Supplier Ref
6149d4e09a7f2;fr;Catégorie principale;0.00;0.00;50;N;Basic;;TVA 5.5%;Attribut 1: Choix 1;<p>t shirt basique test</p>;A;1;ABC
614c6c992e7f7;fr;Catégorie principale;0.00;2.00;50;N;Longue;;TVA 5.5%;Attribut 1: Choix 1;;A;1;ABC
614c8fb16956a;fr;Catégorie principale;2.00;0.00;1000;Y;Limité 2h;"<p><span style=""font-size: 14px;"">2h max en appel</span></p>";TVA 2.1%;Attribut 1: Choix 1;<p>2h max en appel</p>;A;1;ABC
614d78f38dce7;fr;Catégorie principale;10.00;0.00;499;N;Courte basique;"<p>robe courte test modif apres&nbsp;</p>";TVA 2.1%;Attribut 1: Choix 1;<p>robe courte basique modifier</p>;A;1;ABC
1010874500;fr;Category 1;350.00;0.00;100000;N;Wine - Zonnebloem Pinotage;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1032999004;fr;Category 4;405.00;0.00;100000;N;Lid - 16 Oz And 32 Oz;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1047370999;fr;Category 9;331.00;0.00;100000;N;Lamb Rack Frenched Australian;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
104831677;fr;Category 7;319.00;0.00;100000;N;Graham Cracker Mix;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1051146631;fr;Category 5;235.00;0.00;100000;N;Cumin - Whole;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1055804005;fr;Category 7;94.00;0.00;100000;N;Ecolab Silver Fusion;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1058315900;fr;Category 0;285.00;0.00;100000;N;Soup - Knorr, Ministrone;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1063403731;fr;Category 3;79.00;0.00;100000;N;Pie Filling - Pumpkin;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1103767429;fr;Category 8;405.00;0.00;100000;N;Potatoes - Purple, Organic;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1119537746;fr;Category 7;301.00;0.00;100000;N;Truffle - Whole Black Peeled;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1131674960;fr;Category 0;270.00;0.00;100000;N;Coffee - Cafe Moreno;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1133418961;fr;Category 0;263.00;0.00;100000;N;Appetizer - Mushroom Tart;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1141243601;fr;Category 1;354.00;0.00;100000;N;Carrots - Mini Red Organic;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1144616492;fr;Category 8;29.00;0.00;100000;N;Lettuce - Red Leaf;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1173468706;fr;Category 0;448.00;0.00;100000;N;Wine - Cava Aria Estate Brut;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1184680744;fr;Category 2;185.00;0.00;100000;N;Island Oasis - Pina Colada;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1186780770;fr;Category 8;381.00;0.00;100000;N;Vol Au Vents;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1189471736;fr;Category 6;420.00;0.00;100000;N;Milk - Homo;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1192649370;fr;Category 0;55.00;0.00;100000;N;Honey - Comb;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1200482204;fr;Category 9;231.00;0.00;100000;N;Chambord Royal;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1201569214;fr;Category 7;138.00;0.00;100000;N;Pie Shell - 5;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1208059793;fr;Category 7;97.00;0.00;100000;N;Crackers - Melba Toast;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1208184105;fr;Category 5;103.00;0.00;100000;N;Pails With Lids;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1213049784;fr;Category 5;469.00;0.00;100000;N;Syrup - Monin, Swiss Choclate;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1228802300;fr;Category 4;272.00;0.00;100000;N;Wine - Pinot Noir Pond Haddock;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1241341060;fr;Category 9;436.00;0.00;100000;N;Ham - Black Forest;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1241444897;fr;Category 1;469.00;0.00;100000;N;Red Pepper Paste;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1254224394;fr;Category 1;272.00;0.00;100000;N;Praline Paste;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1260503682;fr;Category 5;470.00;0.00;100000;N;Pork - Bacon, Sliced;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1266221646;fr;Category 9;283.00;0.00;100000;N;Beef - Kobe Striploin;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1267487135;fr;Category 6;295.00;0.00;100000;N;Guava;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1277027994;fr;Category 6;255.00;0.00;100000;N;Yams;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1278480188;fr;Category 3;45.00;0.00;100000;N;Bay Leaf;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1287705324;fr;Category 9;300.00;0.00;100000;N;Chocolate - Mi - Amere Semi;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1293334634;fr;Category 8;300.00;0.00;100000;N;Scallops - U - 10;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1294575201;fr;Category 6;328.00;0.00;100000;N;Sauce - Caesar Dressing;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1296145522;fr;Category 6;11.00;0.00;100000;N;The Pop Shoppe - Grape;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
130599395;fr;Category 2;256.00;0.00;100000;N;Trout - Rainbow, Fresh;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1311345132;fr;Category 1;317.00;0.00;100000;N;Juice - Prune;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1321706995;fr;Category 3;95.00;0.00;100000;N;Smoked Paprika;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1322822476;fr;Category 2;352.00;0.00;100000;N;Chocolate - White;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1326055135;fr;Category 9;328.00;0.00;100000;N;Buffalo - Striploin;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
132781468;fr;Category 4;220.00;0.00;100000;N;Yogurt - Raspberry, 175 Gr;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1349990906;fr;Category 3;149.00;0.00;100000;N;Carroway Seed;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1351109626;fr;Category 7;57.00;0.00;100000;N;Longos - Greek Salad;;TVA 20%;Attribut 1: Choix 1;;A;1;ABC
1359493573;fr;Category 0;392.00;0.00;100000;N;Longos - Lasagna Beef;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1365040771;fr;Category 6;248.00;0.00;100000;N;Veal - Knuckle;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1392834759;fr;Category 4;65.00;0.00;100000;N;Venison - Striploin;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1384366083;fr;Category 1;410.00;0.00;100000;N;Wine - Red, Concha Y Toro;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1398673730;fr;Category 5;32.00;0.00;100000;N;Gatorade - Orange;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1399311964;fr;Category 7;286.00;0.00;100000;N;Tarragon - Primerba, Paste;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1409333825;fr;Category 2;46.00;0.00;100000;N;Nut - Pecan, Pieces;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1410627403;fr;Category 0;65.00;0.00;100000;N;Pear - Packum;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1424131219;fr;Category 0;23.00;0.00;100000;N;Mushroom - Morels, Dry;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1436905605;fr;Category 7;109.00;0.00;100000;N;Wine - White, Pelee Island;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1442088222;fr;Category 5;24.00;0.00;100000;N;Fish - Base, Bouillion;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1449368808;fr;Category 8;232.00;0.00;100000;N;Muffins - Assorted;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
145894002;fr;Category 6;399.00;0.00;100000;N;Cookie - Dough Variety;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1460733096;fr;Category 6;49.00;0.00;100000;N;Pepsi - 600ml;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1460749308;fr;Category 9;52.00;0.00;100000;N;Crab - Dungeness, Whole;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
1468466887;fr;Category 3;102.00;0.00;100000;N;Paper Towel Touchless;;TVA 20%;Attribut 1: Choix 1;;A;1;DEF
