Product code;Product name;Quantity;Price;Divisions included;Divisions excluded;Language;Category;Taxes;Status;Image URL
5527675031;Banana - Green;100000;164;FR-01|FR-69;UK;fr;Category 4;TVA 20%;A;http://dummyimage.com/792x606.jpg/5fa2dd/ffffff
7683542891;Fond - Chocolate;100000;399;INVALID;FR-01|FR-69;fr;Category 9;TVA 20%;A;http://dummyimage.com/543x741.jpg/ff4444/ffffff
1041970456;Cheese - Cheddar, Medium;100000;262;UK;IT|BE;fr;Category 4;TVA 20%;A;http://dummyimage.com/673x410.png/cc0000/ffffff
2302804058;Anchovy Fillets;100000;286;FR-01|FR-69;FR-01|FR-69;fr;Category 1;TVA 20%;A;http://dummyimage.com/798x686.png/5fa2dd/ffffff
7626193535;Muffin Orange Individual;100000;270;FR-01|FR-69;FR-01|FR-69;fr;Category 8;TVA 20%;A;http://dummyimage.com/519x449.png/cc0000/ffffff
0715995194;Steel Wool S.o.s;100000;301;FR-ARA|FR-IDF;FR-01|FR-69;fr;Category 6;TVA 20%;A;http://dummyimage.com/649x507.bmp/ff4444/ffffff
4345899557;Quail - Jumbo Boneless;100000;98;INVALID;IT|BE;fr;Category 0;TVA 20%;A;http://dummyimage.com/505x413.jpg/dddddd/000000
6465815669;Beer - Molson Excel;100000;326;INVALID;IT|BE;fr;Category 7;TVA 20%;A;http://dummyimage.com/429x788.bmp/cc0000/ffffff
5695859180;Spice - Paprika;100000;217;INVALID;UK;fr;Category 5;TVA 20%;A;http://dummyimage.com/475x615.png/ff4444/ffffff
2101611607;Wine - Cotes Du Rhone;100000;194;INVALID;INVALID;fr;Category 7;TVA 20%;A;http://dummyimage.com/569x641.bmp/ff4444/ffffff
8223350828;Dates;100000;29;UK;FR-75;fr;Category 0;TVA 20%;A;http://dummyimage.com/583x634.png/cc0000/ffffff
0182328279;Beef - Tenderlion, Center Cut;100000;388;FR-75;UK;fr;Category 3;TVA 20%;A;http://dummyimage.com/642x584.jpg/5fa2dd/ffffff
